,bvdid,priority,ListLabel,Typology,EntryType,Name,InternalID_1,InternalID_1_type,InternalID_2,InternalID_2_type,InternalID_3,InternalID_3_type,CoType,License_Type,Address_1,Address_2,City,Zip,Cntry,Phone,Fax,Website,Email,RegulationType,RegulationTypeCode,RegulationDate,CancellationDate,RegCtry,RegCode,ListCode,ListLanguage,ListValidityDate,ListName,ListProcessDate,LEI Code,BIC SWIFT Code,Name - Mother Company,Address_1 - Mother company,Address_2 -  Mother company,City - Mother company,Zip - Mother company,Cntry - Mother company,Phone - Mother company,Check
27,,,,,,Swiss Re Corporate Solutions Insurance China Ltd,000042,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
28,,,,,,Chubb Insurance (China) Company Limited,000043,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
29,,,,,,"Mitsui Sumitomo Insurance (China) Company, Limited",000044,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
30,,,,,,"Samsung Property & Casualty Insurance Company (China), Ltd.",000045,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
31,,,,,,Bank of China Insurance Company Limited,000046,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
32,,,,,,Allianz JingDong General Insurance Company Ltd.,000050,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
33,,,,,,"Sompo Japan Insurance (China) Co, Ltd.",000053,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
34,,,,,,Liberty Insurance Company Limited,000060,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
35,,,,,,Pacific Anxin Agricultural Insurance Co.， Ltd.,000064,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
36,,,,,,"Groupama SDIG Property Insurance Co.,Ltd.",000067,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
37,,,,,,ALLTRUST INSURANCE COMPANY OF CHINA LIMITED,000068,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
38,,,,,,"Anhua Agricultural Insurance Co.,Ltd.",000075,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
39,,,,,,"AXA TIAN PING Property & Casualty Insurance Co., Ltd.",000078,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
40,,,,,,Sunshine Property and Casualty Insurance Company Limited,000093,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
41,,,,,,Sunlight Agricultural Mutual Insurance Company,000094,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
42,,,,,,"DUBON PROPERTY & CASUALTY INSURANCE CO.,LTD.",000096,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
43,,,,,,Bohai Property Insurance Co.ltd,000098,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
44,,,,,,China Huanong Property & Casualty Insurance Company Limited,000101,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
45,,,,,,Zurich General Insurance Company (China) Limited,000104,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
46,,,,,,China Life Property & Casualty Insurance Company Limited,000108,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
47,,,,,,"Ancheng Property & Casualty Insurance CO.,Ltd",000110,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
48,,,,,,Hyundai Insurance(China)Company Limited,000111,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
49,,,,,,"Chang An Property & Casualty Insurance co.,Ltd.",000112,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
50,,,,,,Lloyd's Insurance Company (China) Limited,000113,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
51,,,,,,Generali China Insurance Company Limited,000117,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
52,,,,,,Aioi Nissay Dowa Insurance (China) Company Limited,000118,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
53,,,,,,Guo Yuan Agricultural Insurance Company Limited,000126,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
54,,,,,,"DINGHE PROPERTY INSURANCE CO.,LTD",000129,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
55,,,,,,"China Coal Insurance Co.,Ltd",000132,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
56,,,,,,"Cathay Insurance Co., Ltd.",000133,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
57,,,,,,"YINGDA TAIHE PROPERTY INSURANCE CO., LTD",000135,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
58,,,,,,Zking Property and Casualty Insurance Company Limited,000137,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
59,,,,,,NIPPONKOA Insurance Company (China) Limited,000139,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
60,,,,,,Zheshang Property and Casualty Insurance Company Limited,000140,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
61,,,,,,"GUOREN PROPERTY AND CASUALTY INSURANCE CO.,LTD.",000142,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
62,,,,,,"KBFG Insurance (China) Co., Ltd.",000143,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
63,,,,,,"Fubon Property & Casualty Insurance Co., Ltd.",000146,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
64,,,,,,"Taishan Property & Casualty Insurance Co., Ltd",000148,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
65,,,,,,JinTai Property Insurance Company Limited,000149,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
66,,,,,,URTRUST INSURANCE CO. LTD.,000151,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
67,,,,,,"Huatai Property & Casualty Insurance Co., Ltd",000154,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
68,,,,,,"Changjiang Property & Casualty Insurance Co.,Ltd.",000156,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
69,,,,,,Champion Property and Casualty Insurance Company Limited,000158,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
70,,,,,,Funde Property＆Casualty Insurance Co.， Ltd.,000163,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
71,,,,,,"SANGUARD AUTOMOBILE INSURANCE CO.,LTD.",000165,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
