,bvdid,priority,ListLabel,Typology,EntryType,Name,InternalID_1,InternalID_1_type,InternalID_2,InternalID_2_type,InternalID_3,InternalID_3_type,CoType,License_Type,Address_1,Address_2,City,Zip,Cntry,Phone,Fax,Website,Email,RegulationType,RegulationTypeCode,RegulationDate,CancellationDate,RegCtry,RegCode,ListCode,ListLanguage,ListValidityDate,ListName,ListProcessDate,LEI Code,BIC SWIFT Code,Name - Mother Company,Address_1 - Mother company,Address_2 -  Mother company,City - Mother company,Zip - Mother company,Cntry - Mother company,Phone - Mother company,Check
117,,,,,,"Allianz China Life Insurance Co., Ltd.",000030,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
118,,,,,,ICBC-AXA ASSURANCE CO.LTD.,000031,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
119,,,,,,CITIC-Prudential Life Insurance Company Limited,000032,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
120,,,,,,BOCOM MSIG Life Insurance Company Limited,000033,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
121,,,,,,Generali China Life Insurance Company Limited,000035,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
122,,,,,,"Sun Life Everbright Life Insurance Co.,Ltd.",000036,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
123,,,,,,AIA Life Insurance Company Limited,000037,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
124,,,,,,"Founder Meiji Yasuda Life Insurance Co., Ltd",000047,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
125,,,,,,"BOB-CARDIF LIFE INSURANCE CO.,LTD",000048,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
126,,,,,,"AVIVA-COFCO LIFE INSURANCE CO., LTD.",000049,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
127,,,,,,"Aegon THTF Life Insurance Co., Ltd.",000051,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
128,,,,,,"Minsheng Life Insurance Co., Ltd",000052,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
129,,,,,,Cigna & CMB Life Insurance Company Limited,000054,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
130,,,,,,Great Wall Changsheng Life Insurance Co.Ltd.,000055,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
131,,,,,,Heng An Standard Life Insurance Company Limited,000056,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
132,,,,,,Old Mutual-CHN Energy Life Insurance Company Limited,000057,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
133,,,,,,"Funde Sino Life Insurance Co., Ltd.",000061,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
134,,,,,,Livit Life Insurance Company Limited,000071,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
135,,,,,,"Union Life Insurance Co., Ltd.",000074,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
136,,,,,,"Huatai Life Insurance Co.,Ltd.",000076,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
137,,,,,,"Cathay lujiazui Life Insurance Co., Ltd",000077,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
138,,,,,,Sino-US United Metlife Insurance Company Limited,000083,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
139,,,,,,BOC SAMSUNG LIFE INSURANCE COMPANY LIMITED,000087,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
140,,,,,,J.K．LIFE INSURANCE CORPORATION LIMITED,000090,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
141,,,,,,"SINATAY Life Insurance Company,Ltd.",000091,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
142,,,,,,"ABC Life Insurance Co., Ltd.",000092,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
143,,,,,,Great Wall Life Insurance Company Limited,000095,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
144,,,,,,PICC Life Insurance Company Limited,000100,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
145,,,,,,"GUOHUA LIFE INSURANCE CO., LTD.",000102,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
146,,,,,,"YINGDA TAIHE LIFE INSURANCE CO.,LTD.",000121,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
147,,,,,,"HAPPY LIFE INSURANCE CO.,LTD.",000124,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
148,,,,,,Sunshine Life Insurance Corporation Limited,000127,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
149,,,,,,DINGCHENG LIFE INSURANCE COMPANY LIMITED,000130,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
150,,,,,,HSBC Life Insurance Company Limited,000131,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
151,,,,,,Junlong Life Insurance Company Limited,000136,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
152,,,,,,"AEON LIFE INSURANCE COMPANY, LTD.",000138,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
153,,,,,,China Post Life Insurance Company Limited,000141,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
154,,,,,,"ZHONGRONG LIFE INSURANCE CO., LTD.",000144,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
155,,,,,,"DAJIA LIFE INSURANCE CO., LTD.",000145,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
156,,,,,,Lian Life Insurance Company Limited,000152,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
157,,,,,,SINO-CONFLUX INSURANCE COMPANY,000157,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
158,,,,,,"QIAN HAI LIFE INSURANCE CO., LTD",000160,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
159,,,,,,SooChowLife Insurance Company Limited,000164,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
160,,,,,,Hongkang Life Insurance Company Limited,000166,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
161,,,,,,Pearl River Life Insurance Company Limited,000167,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
162,,,,,,Chasing Jixiang Life Insurance Company Limited,000168,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
163,,,,,,"Pramerica Fosun Life Insurance Co., Ltd.",000169,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
164,,,,,,"Sinokorea Life Insurance CO., Ltd.",000171,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
165,,,,,,"ERGO China Life Insurance Co.,Ltd.",000176,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
166,,,,,,"Bohai Life Insurance Co.,Ltd",000186,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
167,,,,,,"GUOLIAN LIFE INSURANCE CO.,LTD",000188,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
168,,,,,,"Shanghai Life Insurance Co., Ltd.",000190,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
169,,,,,,China United Life Insurance Company Limited,000200,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
170,,,,,,"TAIKANG LIFE INSURANCE Co., Ltd.",000213,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
171,,,,,,"Hengqin Life Insurance Co., Ltd.",000216,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
172,,,,,,"Hetai Life Insurance Co., Ltd.",000218,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
173,,,,,,Hua gui life insurance company limited.,000220,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
174,,,,,,Trust Mutual Life Insurance Company,000223,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
175,,,,,,"AIXIN LIFE INSURANCE CO., LTD.",000224,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
176,,,,,,China Merchants Life Insurance Company Limited,000226,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
177,,,,,,"China Three Gorges Life Insurance Co.,Ltd.",000230,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
178,,,,,,"Beijing Life Insurance Co., Ltd.",000233,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
179,,,,,,"Guobao Life Insurance Co., LTD.",000234,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
180,,,,,,"Haibao Life Insurance Co., Ltd.",000236,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
181,,,,,,"GUOFU LIFE INSURANCE CO., LTD.",000237,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
182,,,,,,"ZHONG HUI LIFE INSURANCE CO.,LTD.",000259,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
183,,,,,,"Rui Life Insurance Co.,LTD.",000260,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
184,,,,,,Harbor Life Insurance Company Limited,000258,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
185,,,,,,"Ping An Annuity Insurance Company of China ,Ltd.",000072,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
186,,,,,,"TAIPING PENSION CO., LTD.",000082,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
187,,,,,,China Life Pension Company Limited,000109,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
188,,,,,,"TAIKANG PENSION & INSURANCE CO., LTD.",000122,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
189,,,,,,"DAJIA ANNUITY INSURANCE CO., LTD",000181,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
190,,,,,,"NEW CHINA PENSION CO., LTD.",000211,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
191,,,,,,PICC Pension Company Limited,000228,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
192,,,,,,Heng An Standard Pension Insurance Company Limited,000249,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
193,,,,,,GUOMIN PENSION & INSURANCE COMPANY LIMITED,000256,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
194,,,,,,"Ping An Health Insurance Company of China,Ltd.",000084,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
195,,,,,,PICC Health Insurance Company Limited,000085,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
196,,,,,,"Kunlun Health Insurance Co.,Ltd.",000097,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
197,,,,,,"HEXIE Health Insurance Co.,Ltd.",000099,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
198,,,,,,"Pacific Health Insurance Co., Ltd.",000184,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
199,,,,,,FOSUN UNITED HEALTH INSURANCE COMPANY LTD.,000217,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
200,,,,,,Ruihua Health Assurance Corporation,000235,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
201,,,,,,PICC Asset Management Company Limited,000003,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
202,,,,,,China Life Asset Management Company limited,000006,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
203,,,,,,"Huatai Asset Management Co.,Ltd.",000081,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
204,,,,,,"Ping An Asset Management Co.,LTD",000088,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
205,,,,,,China Re Asset Management Company Limited,000089,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
206,,,,,,"Taikang Asset Management Co.,Ltd.",000105,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
207,,,,,,"Pacific Asset Management Co.,Ltd.",000114,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
208,,,,,,"TAIPING ASSET MANAGEMENT CO.,LTD.",000115,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
209,,,,,,"New China Asset Management Co.,Ltd.",000119,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
210,,,,,,"Changjiang Pension Insurance Company, Limited",000120,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
211,,,,,,"DAJIA ASSET MANAGEMENT CO.,LTD.",000150,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
212,,,,,,"SINO LIFE ASSET MANAGEMENT CO.,LTD.",000153,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
213,,,,,,Sun Life Everbright Asset Management Company Limited,000161,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
214,,,,,,"Union Asset Mangement Company,Ltd.",000162,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
215,,,,,,"MINGSHENG TONGHUI ASSET MANAGEMENT CO.,LTD.",000170,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
216,,,,,,Sunshine Asset Management Corporation Limited,000172,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
217,,,,,,AC Asset Management Co.Ltd,000174,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
218,,,,,,Generali China Asset Management Company Limited,000175,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
219,,,,,,"SINOSAFE ASSET MANAGEMENT CO.,LTD.",000178,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
220,,,,,,"GREATWALL WEALTH INSURANCE ASSET MANAGEMENT CO.,LTD.",000191,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
221,,,,,,"YINGDA INSURANCE ASSET MANAGEMENT CO.,LTD.",000193,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
222,,,,,,"Hua Everwin Asset Management Co.,Ltd",000194,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
223,,,,,,CCB Life Insurance Asset Management Company Limited.,000207,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
224,,,,,,"AEON Insurance Asset Management Co., Ltd.",000214,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
225,,,,,,"ALLTRUST INSURANCE ASSET MANAGEMENT CO.,LTD.",000227,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
226,,,,,,ICBC-AXA Asset Management Company Limited,000239,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
227,,,,,,"Bocommlife Asset Management Co.,LTD",000240,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
228,,,,,,CITIC-Prudential Asset Management Company Ltd.,000246,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
229,,,,,,Cigna&CMB Asset Management Company Limited,000247,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
230,,,,,,China Life Investment Management Company Limited,000250,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
231,,,,,,"GH SHINING ASSET MANAGEMENT CO.,LTD.",000251,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
232,,,,,,Allianz Insurance Asset Management Company Limited,000252,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
233,,,,,,"PICC Capital Insurance Asset Management Co.,Ltd.",000253,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
234,,,,,,Taiping Capital Asset Management Company Limited,000254,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
235,,,,,,China Post Insurance Asset Management Company Limited,000261,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
236,,,,,,"Fulong Rural Insurance Mutual Assistance Society, Longshan Town, Cixi City",000155,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
237,,,,,,Cixi Longshan Rural Insurance Mutual Assistance Party,000177,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
238,,,,,,Rui An Shi Xing Min Nong Cun Bao Xian Hu Zhu She,000198,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
